context: It was a silent night response:	Eclipse was beginnin'
context: It was a silent night\Eclipse was beginnin' response:	Kasaneau setsuna o
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o response:	Kitto eien to shinjikomu
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu response:	In darkness...
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness... response:	It's darker than black
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black response:	Meikyuu no sora
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black\Meikyuu no sora response:	Hikari o kou
context: It was a silent night\Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black\Meikyuu no sora\Hikari o kou response:	If bite your soul
context: Eclipse was beginnin'\Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black\Meikyuu no sora\Hikari o kou\If bite your soul response:	Shoudou ga mushibande yuku
context: Kasaneau setsuna o\Kitto eien to shinjikomu\In darkness...\It's darker than black\Meikyuu no sora\Hikari o kou\If bite your soul\Shoudou ga mushibande yuku response:	Can I... Can I... Can I... Who am I...?
context: Kitto eien to shinjikomu\In darkness...\It's darker than black\Meikyuu no sora\Hikari o kou\If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...? response:	Risei o kakikesu libido
context: In darkness...\It's darker than black\Meikyuu no sora\Hikari o kou\If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido response:	(Where is my heart?)
context: It's darker than black\Meikyuu no sora\Hikari o kou\If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?) response:	Kurayami ni
context: Meikyuu no sora\Hikari o kou\If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?)\Kurayami ni response:	(Where is my heart?)
context: Hikari o kou\If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?)\Kurayami ni\(Where is my heart?) response:	Ochikitta
context: If bite your soul\Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?)\Kurayami ni\(Where is my heart?)\Ochikitta response:	(Where is my heart?)
context: Shoudou ga mushibande yuku\Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?)\Kurayami ni\(Where is my heart?)\Ochikitta\(Where is my heart?) response:	Minikui sugata ni natte
context: Can I... Can I... Can I... Who am I...?\Risei o kakikesu libido\(Where is my heart?)\Kurayami ni\(Where is my heart?)\Ochikitta\(Where is my heart?)\Minikui sugata ni natte response:	Hito no namida kareta nara
context: Risei o kakikesu libido\(Where is my heart?)\Kurayami ni\(Where is my heart?)\Ochikitta\(Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara response:	Kimi wa boku o dou omou no ka?
context: (Where is my heart?)\Kurayami ni\(Where is my heart?)\Ochikitta\(Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka? response:	Kotae o oshiete
context: Kurayami ni\(Where is my heart?)\Ochikitta\(Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete response:	Makka na chi ga
context: (Where is my heart?)\Ochikitta\(Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga response:	(Bloody bonds) Makka na chi ga
context: Ochikitta\(Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga response:	Kizuna o nurashiai
context: (Where is my heart?)\Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai response:	Yowasa o wakeatte
context: Minikui sugata ni natte\Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte response:	(Bloody bonds) Yowasa o wakeatte
context: Hito no namida kareta nara\Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte response:	Futari wa ikite yuku no ka?
context: Kimi wa boku o dou omou no ka?\Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka? response:	Kizu o nameatte
context: Kotae o oshiete\Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte response:	Sei o teigi shiatte
context: Makka na chi ga\(Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte response:	Ai o musabotte
context: (Bloody bonds) Makka na chi ga\Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte response:	Offline
context: Kizuna o nurashiai\Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Offline response:	A complete transformation?
context: Yowasa o wakeatte\(Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Offline\A complete transformation? response:	But he didn't drink any blood.
context: (Bloody bonds) Yowasa o wakeatte\Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Offline\A complete transformation?\But he didn't drink any blood. response:	I have to get Tsukasa from-
context: Futari wa ikite yuku no ka?\Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Offline\A complete transformation?\But he didn't drink any blood.\I have to get Tsukasa from- response:	He dodged me?!
context: Kizu o nameatte\Sei o teigi shiatte\Ai o musabotte\Offline\A complete transformation?\But he didn't drink any blood.\I have to get Tsukasa from-\He dodged me?! response:	Hey!
context: Sei o teigi shiatte\Ai o musabotte\Offline\A complete transformation?\But he didn't drink any blood.\I have to get Tsukasa from-\He dodged me?!\Hey! response:	Didn't you just tell me that if you transformed, it was my job to keep Tsukasa safe?
context: Ai o musabotte\Offline\A complete transformation?\But he didn't drink any blood.\I have to get Tsukasa from-\He dodged me?!\Hey!\Didn't you just tell me that if you transformed, it was my job to keep Tsukasa safe? response:	Give her to me, now! I'm taking her to the hospital!
context: Offline\A complete transformation?\But he didn't drink any blood.\I have to get Tsukasa from-\He dodged me?!\Hey!\Didn't you just tell me that if you transformed, it was my job to keep Tsukasa safe?\Give her to me, now! I'm taking her to the hospital! response:	Are you listening to me, Anzai?!
