context: Presented by SoulEaterFan response:	Presented by SoulEaterFan
context: Presented by SoulEaterFan\Presented by SoulEaterFan response:	Hold your breath
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath response:	Deadly Night awaits us
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us response:	You desired it,
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	Asura' s Awakening
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Asura' s Awakening response:	The Arrival of the World' s End?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Asura' s Awakening\The Arrival of the World' s End? response:	Sink or Swim!?
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!? response:	The Men Who Exceed God?
context: the memories you left behind,\along with your image,\even now\remain within' me...\Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God? response:	Ahh, Arachne-sama...
context: along with your image,\even now\remain within' me...\Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama... response:	The reaction of my mistress's soul has disappeared!
context: even now\remain within' me...\Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared! response:	Hey, Maka, you're ready for what's coming, right?
context: remain within' me...\Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right? response:	Of course I'm ready.
context: Asura' s Awakening\The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready. response:	Shinigami-sama can no longer fight, so it's all up to us now.
context: The Arrival of the World' s End?\Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now. response:	Asura's Awakening: The Arrival of the World's End?
context: Sink or Swim!?\The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End? response:	That's...
context: The Men Who Exceed God?\Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End?\That's... response:	The Kishin...
context: Ahh, Arachne-sama...\The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End?\That's...\The Kishin... response:	What an ominous presence.
context: The reaction of my mistress's soul has disappeared!\Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End?\That's...\The Kishin...\What an ominous presence. response:	Let's get going, Tsubaki!
context: Hey, Maka, you're ready for what's coming, right?\Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End?\That's...\The Kishin...\What an ominous presence.\Let's get going, Tsubaki! response:	Yes.
context: Of course I'm ready.\Shinigami-sama can no longer fight, so it's all up to us now.\Asura's Awakening: The Arrival of the World's End?\That's...\The Kishin...\What an ominous presence.\Let's get going, Tsubaki!\Yes. response:	Hold on, Black Star. I'm coming-
